"","artistName","category","trackName","energy","startTime","energy_level","duration"
"1","753","studia","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-21 01:01:37,"fast",199
"2","753","wolne","Dare - Brecc Remix",0.912,2022-12-18 11:33:53,"fast",367
"3","753","wolne","God Is Dead - O.B.I. 2001 Edit",0.988,2022-12-21 01:01:37,"fast",9
"4","Absntmnded","inne","Dedication - Original mix",0.993,2022-12-15 19:43:00,"fast",42
"5","Absntmnded","studia","Dedication - Original mix",0.993,2022-12-15 19:43:00,"fast",85
"6","Absntmnded","wolne","Dedication - Original mix",0.993,2022-12-15 19:43:00,"fast",4
"7","Alignment","wolne","Blue Fire",0.918,2022-12-17 22:16:36,"fast",58
"8","Alina Viktoria","studia","F<dc>HL MICH",0.999,2022-12-16 15:58:20,"fast",1
"9","Alina Viktoria","wolne","F<dc>HL MICH",0.999,2022-12-16 15:58:20,"fast",212
"10","Analect","studia","One Step Further - Wast Remix",0.983,2022-12-18 11:01:54,"fast",5
"11","AnD","inne","Screaming",0.95,2022-12-18 22:33:18,"fast",1
"12","AnD","studia","Screaming",0.95,2022-12-18 22:33:18,"fast",155
"13","AnD","wolne","Screaming",0.95,2022-12-18 22:33:18,"fast",87
"14","AnGy KoRe","studia","Autovelox - Original Mix",0.977,2022-12-17 21:42:04,"fast",4
"15","AnGy KoRe","wolne","Autovelox - Original Mix",0.977,2022-12-17 21:42:04,"fast",22
"16","ARMA","inne","New Order - Blue Monday - ARMA Remix",0.971,2022-12-21 22:27:31,"fast",1
"17","ARMA","studia","No Good - Remix",0.943,2022-12-16 17:43:47,"fast",6
"18","ARMA","wolne","New Order - Blue Monday - ARMA Remix",0.971,2022-12-18 23:16:31,"fast",353
"19","ARMA","wolne","New Order - Blue Monday - ARMA Remix",0.971,2022-12-21 22:27:31,"fast",375
"20","ARMA","wolne","No Good - Remix",0.943,2022-12-16 17:43:47,"fast",306
"21","Arman John","wolne","Let The Groove Be Your Guide",0.998,2022-12-21 22:09:00,"fast",192
"22","Azol","studia","UVB 76",0.996,2022-12-16 15:53:34,"fast",1
"23","Azol","wolne","UVB 76",0.996,2022-12-15 23:11:40,"fast",1
"24","Azol","wolne","UVB 76",0.996,2022-12-16 15:53:34,"fast",231
"25","B2","studia","Open The Gates",0.999,2022-12-21 21:40:00,"fast",6
"26","B2","wolne","Open The Gates",0.999,2022-12-21 21:40:00,"fast",301
"27","Balrog","inne","Like Tears In The Rain",0.991,2022-12-17 18:57:35,"fast",39
"28","Balrog","studia","Like Tears In The Rain",0.991,2022-12-17 18:57:35,"fast",5
"29","Balrog","wolne","Like Tears In The Rain",0.991,2022-12-17 18:57:35,"fast",3
"30","Band Aid","studia","Do They Know It's Christmas? - 1984 Version",0.643,2022-12-18 11:47:17,"medium",222
"31","Basswell","inne","Around",0.998,2022-12-19 19:27:08,"fast",69
"32","Basswell","studia","Around",0.998,2022-12-18 23:22:59,"fast",1
"33","Basswell","studia","Around",0.998,2022-12-19 19:27:08,"fast",21
"34","Basswell","wolne","Around",0.998,2022-12-18 23:22:59,"fast",320
"35","Basswell","wolne","Around",0.998,2022-12-19 19:27:08,"fast",34
"36","Bitonal","inne","Notaufnahme 2022 - N.O.B.A Remix",0.791,2022-12-18 22:56:49,"fast",11
"37","Bitonal","studia","Notaufnahme 2022 - N.O.B.A Remix",0.791,2022-12-18 13:04:37,"fast",3
"38","Bitonal","studia","Notaufnahme 2022 - N.O.B.A Remix",0.791,2022-12-18 22:56:49,"fast",104
"39","Bitonal","wolne","Notaufnahme 2022 - N.O.B.A Remix",0.791,2022-12-18 13:04:37,"fast",379
"40","Bitonal","wolne","Notaufnahme 2022 - N.O.B.A Remix",0.791,2022-12-18 22:56:49,"fast",71
"41","Bours?","inne","Lohawat",0.968,2022-12-21 22:41:53,"fast",8
"42","Bours?","studia","Lohawat",0.968,2022-12-18 20:10:32,"fast",2
"43","Bours?","studia","Lohawat",0.968,2022-12-21 22:41:53,"fast",162
"44","Bours?","wolne","Lohawat",0.968,2022-12-18 20:10:32,"fast",357
"45","Bours?","wolne","Lohawat",0.968,2022-12-21 22:41:53,"fast",157
"46","Brenda Lee","studia","Rockin' Around The Christmas Tree",0.472,2022-12-18 11:44:53,"medium",126
"47","Britney Spears","studia","My Only Wish (This Year)",0.843,2022-12-18 12:03:44,"fast",240
"48","Britney Spears","wolne","My Only Wish (This Year)",0.843,2022-12-18 12:03:44,"fast",8
"49","BXTR","inne","Asimov's Law - Nn Remix",0.912,2022-12-16 21:03:21,"fast",23
"50","BXTR","studia","Asimov's Law - Nn Remix",0.912,2022-12-16 21:03:21,"fast",248
"51","BXTR","wolne","Asimov's Law - Nn Remix",0.912,2022-12-16 21:03:21,"fast",121
"52","CARAVEL","inne","Mirror Of Judgment - Original",0.999,2022-12-16 17:48:56,"fast",2
"53","CARAVEL","studia","Mirror Of Judgment - Original",0.999,2022-12-16 17:48:56,"fast",15
"54","CARAVEL","wolne","Mirror Of Judgment - Original",0.999,2022-12-16 17:48:56,"fast",270
"55","Champas","inne","Raw Matters - Original Mix",0.989,2022-12-18 22:39:31,"fast",3
"56","Champas","inne","Raw Matters - Original Mix",0.989,2022-12-19 21:31:31,"fast",15
"57","Champas","studia","Raw Matters - Original Mix",0.989,2022-12-18 22:39:31,"fast",268
"58","Champas","studia","Raw Matters - Original Mix",0.989,2022-12-19 21:31:31,"fast",14
"59","Champas","wolne","Raw Matters - Original Mix",0.989,2022-12-18 22:39:31,"fast",10
"60","Champas","wolne","Raw Matters - Original Mix",0.989,2022-12-19 21:31:31,"fast",239
"61","Charlie Sparks (UK)","inne","Hooligans",1,2022-12-18 21:38:46,"fast",39
"62","Charlie Sparks (UK)","studia","Hooligans",1,2022-12-18 19:55:46,"fast",18
"63","Charlie Sparks (UK)","studia","Hooligans",1,2022-12-18 21:38:46,"fast",203
"64","Charlie Sparks (UK)","studia","Tatakai",0.966,2022-12-21 20:32:50,"fast",444
"65","Charlie Sparks (UK)","wolne","Hooligans",1,2022-12-18 19:55:46,"fast",307
"66","Charlie Sparks (UK)","wolne","Hooligans",1,2022-12-18 21:38:46,"fast",68
"67","Charlie Sparks (UK)","wolne","Tatakai",0.966,2022-12-21 20:32:50,"fast",1
"68","Clair","inne","Edge Of Emotion",0.934,2022-12-19 21:54:46,"fast",18
"69","Clair","studia","Edge Of Emotion",0.934,2022-12-19 21:54:46,"fast",132
"70","Clair","wolne","Edge Of Emotion",0.934,2022-12-19 21:54:46,"fast",13
"71","CLTX","inne","Warrior",0.998,2022-12-21 20:53:24,"fast",116
"72","CLTX","studia","Eternally Yours",0.964,2022-12-21 20:39:48,"fast",352
"73","CLTX","studia","Warrior",0.998,2022-12-21 20:53:24,"fast",170
"74","CLTX","wolne","Warrior",0.998,2022-12-21 20:53:24,"fast",27
"75","Creeds","inne","Own Methods",0.961,2022-12-19 19:22:24,"fast",142
"76","Creeds","inne","Own Methods",0.961,2022-12-19 22:17:24,"fast",28
"77","Creeds","studia","Own Methods",0.961,2022-12-19 19:22:24,"fast",18
"78","Creeds","studia","Own Methods",0.961,2022-12-19 22:17:24,"fast",144
"79","Creeds","wolne","Own Methods",0.961,2022-12-19 19:22:24,"fast",61
"80","Creeds","wolne","Own Methods",0.961,2022-12-19 22:17:24,"fast",45
"81","David LaFhionntain","inne","Abandoning Reality - Original Mix",0.995,2022-12-19 20:18:24,"fast",2
"82","David LaFhionntain","studia","Into The Shadows - Original Mix",0.869,2022-12-16 18:22:48,"fast",23
"83","David LaFhionntain","wolne","Abandoning Reality - Original Mix",0.995,2022-12-19 20:18:24,"fast",196
"84","David LaFhionntain","wolne","Into The Shadows - Original Mix",0.869,2022-12-16 18:22:48,"fast",237
"85","David Temessi","inne","Rave Remedy - Original Mix",0.975,2022-12-17 21:56:49,"fast",19
"86","David Temessi","studia","Rave Remedy - Original Mix",0.975,2022-12-17 21:56:49,"fast",7
"87","Densha Crisis","wolne","Kinetik Strength",0.994,2022-12-19 20:33:58,"fast",280
"88","Dersee","wolne","Let the Children Rave",0.975,2022-12-18 22:08:44,"fast",44
"89","Dica","wolne","Hard Frequency",0.954,2022-12-17 21:29:31,"fast",357
"90","Diction Dj","wolne","Jamaican - Original Mix",0.95,2022-12-16 17:53:30,"fast",60
"91","disruption","inne","Devine the Future",0.99,2022-12-19 20:28:09,"fast",24
"92","disruption","studia","Ukiyo",0.988,2022-12-19 01:19:39,"fast",371
"93","disruption","wolne","Devine the Future",0.99,2022-12-19 20:28:09,"fast",276
"94","disruption","wolne","Ukiyo",0.988,2022-12-19 01:19:39,"fast",9
"95","Diyu","inne","Reactor",0.959,2022-12-19 19:09:17,"fast",274
"96","Diyu","studia","Reactor",0.959,2022-12-19 19:09:17,"fast",44
"97","Diyu","wolne","Reactor",0.959,2022-12-19 19:09:17,"fast",35
"98","DJ Caline","studia","Acid",0.994,2022-12-18 21:22:05,"fast",39
"99","DJ Caline","wolne","Acid",0.994,2022-12-18 21:22:05,"fast",214
